==========
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet50_fc512
Initialized model with pretrained weights from https://download.pytorch.org/models/resnet50-19c8e357.pth
Model size: 24.558 M
=> Start training
Epoch: [1][10/590]	Time 0.115 (0.410)	Data 0.0001 (0.0246)	Xent 6.3050 (6.3146)	Htri 0.3807 (0.3360)	Acc 0.00 (1.25)	
Epoch: [1][20/590]	Time 0.115 (0.263)	Data 0.0001 (0.0124)	Xent 6.2105 (6.2600)	Htri 0.4343 (0.4254)	Acc 4.69 (1.56)	
Epoch: [1][30/590]	Time 0.115 (0.214)	Data 0.0001 (0.0083)	Xent 6.1206 (6.1941)	Htri 0.1271 (0.4772)	Acc 1.56 (1.77)	
Epoch: [1][40/590]	Time 0.116 (0.189)	Data 0.0001 (0.0062)	Xent 5.9843 (6.1314)	Htri 0.2146 (0.4610)	Acc 1.56 (2.03)	
Epoch: [1][50/590]	Time 0.116 (0.175)	Data 0.0001 (0.0050)	Xent 5.8557 (6.0724)	Htri 0.5633 (0.4695)	Acc 0.00 (2.19)	
Epoch: [1][60/590]	Time 0.116 (0.165)	Data 0.0001 (0.0042)	Xent 5.8255 (6.0207)	Htri 0.3975 (0.4564)	Acc 3.12 (2.53)	
Epoch: [1][70/590]	Time 0.115 (0.158)	Data 0.0001 (0.0036)	Xent 5.6068 (5.9749)	Htri 0.5380 (0.4694)	Acc 4.69 (2.59)	
Epoch: [1][80/590]	Time 0.119 (0.153)	Data 0.0001 (0.0032)	Xent 5.5330 (5.9291)	Htri 0.0418 (0.4715)	Acc 0.00 (2.62)	
Epoch: [1][90/590]	Time 0.116 (0.149)	Data 0.0001 (0.0028)	Xent 5.2221 (5.8775)	Htri 0.7357 (0.4784)	Acc 3.12 (2.71)	
Epoch: [1][100/590]	Time 0.116 (0.146)	Data 0.0001 (0.0025)	Xent 5.4222 (5.8330)	Htri 0.2770 (0.4643)	Acc 1.56 (2.86)	
Epoch: [1][110/590]	Time 0.116 (0.143)	Data 0.0001 (0.0023)	Xent 5.2126 (5.7878)	Htri 0.5180 (0.4596)	Acc 3.12 (2.86)	
Epoch: [1][120/590]	Time 0.117 (0.141)	Data 0.0001 (0.0021)	Xent 5.0629 (5.7412)	Htri 0.4440 (0.4481)	Acc 6.25 (2.88)	
Epoch: [1][130/590]	Time 0.117 (0.139)	Data 0.0001 (0.0020)	Xent 5.2291 (5.6974)	Htri 0.5781 (0.4428)	Acc 6.25 (2.98)	
